over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,total_samples,batting_team_wins,win_probability
16-20,7+,low,neutral,6,6,1.0
16-20,7+,low,strong_advantage,5,4,0.8
16-20,7+,low,strong_disadvantage,2,2,1.0
16-20,7+,neutral,moderate_advantage,3,2,0.6667
16-20,7+,neutral,moderate_disadvantage,5,3,0.6
16-20,7+,neutral,neutral,5,4,0.8
16-20,7+,neutral,strong_advantage,1,1,1.0
16-20,7+,neutral,strong_disadvantage,1,0,0.0
16-20,7+,very_high,moderate_advantage,190,0,0.0
16-20,7+,very_high,moderate_disadvantage,205,9,0.0439
16-20,7+,very_high,neutral,258,9,0.0349
16-20,7+,very_high,strong_advantage,72,0,0.0
16-20,7+,very_high,strong_disadvantage,119,0,0.0
16-20,7+,very_low,moderate_advantage,84,8,0.0952
16-20,7+,very_low,moderate_disadvantage,82,15,0.1829
16-20,7+,very_low,neutral,97,18,0.1856
16-20,7+,very_low,strong_advantage,36,9,0.25
16-20,7+,very_low,strong_disadvantage,40,5,0.125
4-6,0-1,first_innings,moderate_advantage,507,300,0.5917
4-6,0-1,first_innings,moderate_disadvantage,516,261,0.5058
4-6,0-1,first_innings,neutral,686,330,0.481
4-6,0-1,first_innings,strong_advantage,339,185,0.5457
4-6,0-1,first_innings,strong_disadvantage,292,127,0.4349
4-6,0-1,high,moderate_advantage,160,88,0.55
4-6,0-1,high,moderate_disadvantage,134,59,0.4403
4-6,0-1,high,neutral,164,84,0.5122
4-6,0-1,high,strong_advantage,66,36,0.5455
4-6,0-1,high,strong_disadvantage,77,33,0.4286
4-6,0-1,low,moderate_advantage,128,109,0.8516
4-6,0-1,low,moderate_disadvantage,125,90,0.72
4-6,0-1,low,neutral,188,156,0.8298
4-6,0-1,low,strong_advantage,67,50,0.7463
4-6,0-1,low,strong_disadvantage,65,53,0.8154
4-6,0-1,neutral,moderate_advantage,156,101,0.6474
4-6,0-1,neutral,moderate_disadvantage,134,83,0.6194
4-6,0-1,neutral,neutral,162,113,0.6975
4-6,0-1,neutral,strong_advantage,84,61,0.7262
4-6,0-1,neutral,strong_disadvantage,88,53,0.6023
4-6,0-1,very_high,moderate_advantage,34,12,0.3529
4-6,0-1,very_high,moderate_disadvantage,33,8,0.2424
4-6,0-1,very_high,neutral,44,12,0.2727
4-6,0-1,very_high,strong_advantage,21,2,0.0952
4-6,0-1,very_high,strong_disadvantage,11,3,0.2727
4-6,0-1,very_low,moderate_advantage,50,47,0.94
4-6,0-1,very_low,moderate_disadvantage,32,27,0.8438
4-6,0-1,very_low,neutral,63,58,0.9206
4-6,0-1,very_low,strong_advantage,43,42,0.9767
4-6,0-1,very_low,strong_disadvantage,36,34,0.9444
4-6,2-3,first_innings,moderate_advantage,214,73,0.3411
4-6,2-3,first_innings,moderate_disadvantage,229,89,0.3886
4-6,2-3,first_innings,neutral,286,91,0.3182
4-6,2-3,first_innings,strong_advantage,100,41,0.41
4-6,2-3,first_innings,strong_disadvantage,121,47,0.3884
4-6,2-3,high,moderate_advantage,70,12,0.1714
4-6,2-3,high,moderate_disadvantage,88,29,0.3295
4-6,2-3,high,neutral,143,45,0.3147
4-6,2-3,high,strong_advantage,55,18,0.3273
4-6,2-3,high,strong_disadvantage,61,8,0.1311
4-6,2-3,low,moderate_advantage,26,19,0.7308
4-6,2-3,low,moderate_disadvantage,39,21,0.5385
4-6,2-3,low,neutral,45,34,0.7556
4-6,2-3,low,strong_advantage,13,8,0.6154
4-6,2-3,low,strong_disadvantage,17,11,0.6471
4-6,2-3,neutral,moderate_advantage,38,11,0.2895
4-6,2-3,neutral,moderate_disadvantage,54,25,0.463
4-6,2-3,neutral,neutral,67,39,0.5821
4-6,2-3,neutral,strong_advantage,30,17,0.5667
4-6,2-3,neutral,strong_disadvantage,33,16,0.4848
4-6,2-3,very_high,moderate_advantage,86,12,0.1395
4-6,2-3,very_high,moderate_disadvantage,67,11,0.1642
4-6,2-3,very_high,neutral,79,16,0.2025
4-6,2-3,very_high,strong_advantage,33,6,0.1818
4-6,2-3,very_high,strong_disadvantage,37,2,0.0541
4-6,2-3,very_low,moderate_advantage,3,0,0.0
4-6,2-3,very_low,moderate_disadvantage,5,5,1.0
4-6,2-3,very_low,neutral,14,14,1.0
4-6,2-3,very_low,strong_advantage,3,1,0.3333
4-6,2-3,very_low,strong_disadvantage,6,6,1.0
4-6,4-6,first_innings,moderate_advantage,14,2,0.1429
4-6,4-6,first_innings,moderate_disadvantage,23,4,0.1739
4-6,4-6,first_innings,neutral,27,2,0.0741
4-6,4-6,first_innings,strong_advantage,11,2,0.1818
4-6,4-6,first_innings,strong_disadvantage,7,3,0.4286
4-6,4-6,high,moderate_advantage,10,0,0.0
4-6,4-6,high,moderate_disadvantage,3,0,0.0
4-6,4-6,high,neutral,11,4,0.3636
4-6,4-6,high,strong_advantage,3,1,0.3333
4-6,4-6,high,strong_disadvantage,6,0,0.0
4-6,4-6,low,moderate_disadvantage,2,2,1.0
4-6,4-6,low,neutral,1,0,0.0
4-6,4-6,low,strong_disadvantage,2,2,1.0
4-6,4-6,neutral,moderate_advantage,1,0,0.0
4-6,4-6,neutral,moderate_disadvantage,3,0,0.0
4-6,4-6,neutral,neutral,9,1,0.1111
4-6,4-6,neutral,strong_disadvantage,2,0,0.0
4-6,4-6,very_high,moderate_advantage,6,3,0.5
4-6,4-6,very_high,moderate_disadvantage,16,0,0.0
4-6,4-6,very_high,neutral,9,0,0.0
4-6,4-6,very_high,strong_advantage,2,1,0.5
4-6,4-6,very_high,strong_disadvantage,8,0,0.0
4-6,4-6,very_low,strong_disadvantage,1,1,1.0
7-10,0-1,first_innings,moderate_advantage,395,249,0.6304
7-10,0-1,first_innings,moderate_disadvantage,391,213,0.5448
7-10,0-1,first_innings,neutral,508,283,0.5571
7-10,0-1,first_innings,strong_advantage,301,184,0.6113
7-10,0-1,first_innings,strong_disadvantage,226,105,0.4646
7-10,0-1,high,moderate_advantage,95,69,0.7263
7-10,0-1,high,moderate_disadvantage,107,57,0.5327
7-10,0-1,high,neutral,125,70,0.56
7-10,0-1,high,strong_advantage,39,18,0.4615
7-10,0-1,high,strong_disadvantage,57,39,0.6842
7-10,0-1,low,moderate_advantage,106,91,0.8585
7-10,0-1,low,moderate_disadvantage,84,68,0.8095
7-10,0-1,low,neutral,169,150,0.8876
7-10,0-1,low,strong_advantage,68,61,0.8971
7-10,0-1,low,strong_disadvantage,59,55,0.9322
7-10,0-1,neutral,moderate_advantage,140,109,0.7786
7-10,0-1,neutral,moderate_disadvantage,135,99,0.7333
7-10,0-1,neutral,neutral,86,57,0.6628
7-10,0-1,neutral,strong_advantage,96,71,0.7396
7-10,0-1,neutral,strong_disadvantage,60,41,0.6833
7-10,0-1,very_high,moderate_advantage,19,9,0.4737
7-10,0-1,very_high,moderate_disadvantage,27,7,0.2593
7-10,0-1,very_high,neutral,26,3,0.1154
7-10,0-1,very_high,strong_advantage,4,1,0.25
7-10,0-1,very_high,strong_disadvantage,9,3,0.3333
7-10,0-1,very_low,moderate_advantage,47,47,1.0
7-10,0-1,very_low,moderate_disadvantage,26,26,1.0
7-10,0-1,very_low,neutral,61,60,0.9836
7-10,0-1,very_low,strong_advantage,31,31,1.0
7-10,0-1,very_low,strong_disadvantage,27,27,1.0
7-10,2-3,first_innings,moderate_advantage,472,223,0.4725
7-10,2-3,first_innings,moderate_disadvantage,512,235,0.459
7-10,2-3,first_innings,neutral,645,257,0.3984
7-10,2-3,first_innings,strong_advantage,256,109,0.4258
7-10,2-3,first_innings,strong_disadvantage,274,114,0.4161
7-10,2-3,high,moderate_advantage,225,73,0.3244
7-10,2-3,high,moderate_disadvantage,176,71,0.4034
7-10,2-3,high,neutral,257,129,0.5019
7-10,2-3,high,strong_advantage,103,42,0.4078
7-10,2-3,high,strong_disadvantage,103,25,0.2427
7-10,2-3,low,moderate_advantage,70,54,0.7714
7-10,2-3,low,moderate_disadvantage,62,48,0.7742
7-10,2-3,low,neutral,124,109,0.879
7-10,2-3,low,strong_advantage,27,27,1.0
7-10,2-3,low,strong_disadvantage,35,30,0.8571
7-10,2-3,neutral,moderate_advantage,87,47,0.5402
7-10,2-3,neutral,moderate_disadvantage,114,54,0.4737
7-10,2-3,neutral,neutral,143,97,0.6783
7-10,2-3,neutral,strong_advantage,58,40,0.6897
7-10,2-3,neutral,strong_disadvantage,71,39,0.5493
7-10,2-3,very_high,moderate_advantage,91,16,0.1758
7-10,2-3,very_high,moderate_disadvantage,90,11,0.1222
7-10,2-3,very_high,neutral,113,20,0.177
7-10,2-3,very_high,strong_advantage,56,3,0.0536
7-10,2-3,very_high,strong_disadvantage,62,3,0.0484
7-10,2-3,very_low,moderate_advantage,25,22,0.88
7-10,2-3,very_low,moderate_disadvantage,13,13,1.0
7-10,2-3,very_low,neutral,26,26,1.0
7-10,2-3,very_low,strong_advantage,19,16,0.8421
7-10,2-3,very_low,strong_disadvantage,17,17,1.0
7-10,4-6,first_innings,moderate_advantage,110,28,0.2545
7-10,4-6,first_innings,moderate_disadvantage,119,24,0.2017
7-10,4-6,first_innings,neutral,179,24,0.1341
7-10,4-6,first_innings,strong_advantage,43,11,0.2558
7-10,4-6,first_innings,strong_disadvantage,56,15,0.2679
7-10,4-6,high,moderate_advantage,43,5,0.1163
7-10,4-6,high,moderate_disadvantage,48,4,0.0833
7-10,4-6,high,neutral,60,23,0.3833
7-10,4-6,high,strong_advantage,28,7,0.25
7-10,4-6,high,strong_disadvantage,37,8,0.2162
7-10,4-6,low,moderate_advantage,2,0,0.0
7-10,4-6,low,moderate_disadvantage,6,6,1.0
7-10,4-6,low,neutral,5,2,0.4
7-10,4-6,low,strong_advantage,2,1,0.5
7-10,4-6,low,strong_disadvantage,3,3,1.0
7-10,4-6,neutral,moderate_advantage,9,5,0.5556
7-10,4-6,neutral,moderate_disadvantage,11,2,0.1818
7-10,4-6,neutral,neutral,24,7,0.2917
7-10,4-6,neutral,strong_advantage,1,1,1.0
7-10,4-6,neutral,strong_disadvantage,4,1,0.25
7-10,4-6,very_high,moderate_advantage,60,4,0.0667
7-10,4-6,very_high,moderate_disadvantage,69,7,0.1014
7-10,4-6,very_high,neutral,95,6,0.0632
7-10,4-6,very_high,strong_advantage,23,4,0.1739
7-10,4-6,very_high,strong_disadvantage,48,1,0.0208
7-10,4-6,very_low,moderate_advantage,4,1,0.25
7-10,4-6,very_low,moderate_disadvantage,5,5,1.0
7-10,4-6,very_low,strong_advantage,2,0,0.0
7-10,4-6,very_low,strong_disadvantage,3,3,1.0
7-10,7+,first_innings,moderate_advantage,3,0,0.0
7-10,7+,first_innings,moderate_disadvantage,2,0,0.0
7-10,7+,first_innings,strong_disadvantage,2,0,0.0
7-10,7+,high,moderate_disadvantage,3,0,0.0
7-10,7+,high,neutral,1,0,0.0
7-10,7+,very_high,moderate_advantage,1,0,0.0
7-10,7+,very_high,moderate_disadvantage,2,0,0.0
7-10,7+,very_high,neutral,8,0,0.0
7-10,7+,very_high,strong_disadvantage,4,0,0.0
