over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95
11-15,4-6,neutral,strong_advantage,19,13,0.6842,0.10664,0.4752,0.8932
11-15,4-6,neutral,strong_disadvantage,14,9,0.6429,0.128057,0.3919,0.8939
11-15,4-6,very_high,moderate_advantage,241,26,0.1079,0.019985,0.0687,0.1471
11-15,4-6,very_high,moderate_disadvantage,237,25,0.1055,0.019955,0.0664,0.1446
11-15,4-6,very_high,neutral,301,47,0.1561,0.02092,0.1151,0.1971
11-15,4-6,very_high,strong_advantage,126,23,0.1825,0.03441,0.1151,0.2499
11-15,4-6,very_high,strong_disadvantage,158,0,0.0,0.0,0.0,0.0
11-15,4-6,very_low,moderate_advantage,29,29,1.0,0.0,1.0,1.0
11-15,4-6,very_low,moderate_disadvantage,22,21,0.9545,0.044431,0.8674,1.0
11-15,4-6,very_low,neutral,14,14,1.0,0.0,1.0,1.0
11-15,4-6,very_low,strong_advantage,1,1,1.0,0.0,1.0,1.0
11-15,4-6,very_low,strong_disadvantage,10,10,1.0,0.0,1.0,1.0
11-15,7+,first_innings,moderate_advantage,31,1,0.0323,0.031753,0.0,0.0945
11-15,7+,first_innings,moderate_disadvantage,22,0,0.0,0.0,0.0,0.0
11-15,7+,first_innings,neutral,38,2,0.0526,0.036213,0.0,0.1236
11-15,7+,first_innings,strong_advantage,17,1,0.0588,0.057057,0.0,0.1706
11-15,7+,first_innings,strong_disadvantage,22,5,0.2273,0.08935,0.0522,0.4024
11-15,7+,high,moderate_disadvantage,8,0,0.0,0.0,0.0,0.0
11-15,7+,high,neutral,9,1,0.1111,0.104752,0.0,0.3164
11-15,7+,high,strong_advantage,4,0,0.0,0.0,0.0,0.0
11-15,7+,low,strong_advantage,4,0,0.0,0.0,0.0,0.0
11-15,7+,neutral,moderate_disadvantage,2,0,0.0,0.0,0.0,0.0
11-15,7+,neutral,neutral,1,0,0.0,0.0,0.0,0.0
11-15,7+,very_high,moderate_advantage,36,0,0.0,0.0,0.0,0.0
11-15,7+,very_high,moderate_disadvantage,52,0,0.0,0.0,0.0,0.0
11-15,7+,very_high,neutral,81,1,0.0123,0.012247,0.0,0.0363
11-15,7+,very_high,strong_advantage,9,0,0.0,0.0,0.0,0.0
11-15,7+,very_high,strong_disadvantage,28,0,0.0,0.0,0.0,0.0
16-20,0-1,first_innings,moderate_advantage,32,18,0.5625,0.087695,0.3906,0.7344
16-20,0-1,first_innings,moderate_disadvantage,34,21,0.6176,0.083344,0.4542,0.781
16-20,0-1,first_innings,neutral,44,40,0.9091,0.043337,0.8242,0.994
16-20,0-1,first_innings,strong_advantage,18,15,0.8333,0.087848,0.6611,1.0
16-20,0-1,first_innings,strong_disadvantage,11,7,0.6364,0.145038,0.3521,0.9207
16-20,0-1,high,moderate_disadvantage,2,2,1.0,0.0,1.0,1.0
16-20,0-1,high,neutral,1,0,0.0,0.0,0.0,0.0
16-20,0-1,high,strong_advantage,1,1,1.0,0.0,1.0,1.0
16-20,0-1,high,strong_disadvantage,1,0,0.0,0.0,0.0,0.0
16-20,0-1,low,moderate_advantage,12,12,1.0,0.0,1.0,1.0
16-20,0-1,low,moderate_disadvantage,11,11,1.0,0.0,1.0,1.0
16-20,0-1,low,neutral,1,1,1.0,0.0,1.0,1.0
16-20,0-1,low,strong_advantage,3,3,1.0,0.0,1.0,1.0
16-20,0-1,low,strong_disadvantage,7,5,0.7143,0.170744,0.3796,1.0
16-20,0-1,neutral,moderate_advantage,4,4,1.0,0.0,1.0,1.0
16-20,0-1,neutral,moderate_disadvantage,6,6,1.0,0.0,1.0,1.0
16-20,0-1,neutral,neutral,3,1,0.3333,0.272159,0.0,0.8667
16-20,0-1,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0
16-20,0-1,neutral,strong_disadvantage,3,3,1.0,0.0,1.0,1.0
16-20,0-1,very_low,moderate_advantage,28,28,1.0,0.0,1.0,1.0
16-20,0-1,very_low,moderate_disadvantage,18,18,1.0,0.0,1.0,1.0
16-20,0-1,very_low,neutral,18,18,1.0,0.0,1.0,1.0
16-20,0-1,very_low,strong_advantage,12,12,1.0,0.0,1.0,1.0
16-20,0-1,very_low,strong_disadvantage,12,12,1.0,0.0,1.0,1.0
16-20,2-3,first_innings,moderate_advantage,277,207,0.7473,0.02611,0.6961,0.7985
16-20,2-3,first_innings,moderate_disadvantage,290,161,0.5552,0.029182,0.498,0.6124
16-20,2-3,first_innings,neutral,332,184,0.5542,0.027279,0.5007,0.6077
16-20,2-3,first_innings,strong_advantage,203,119,0.5862,0.034568,0.5184,0.654
16-20,2-3,first_innings,strong_disadvantage,147,74,0.5034,0.041238,0.4226,0.5842
16-20,2-3,high,moderate_advantage,25,17,0.68,0.093295,0.4971,0.8629
16-20,2-3,high,moderate_disadvantage,32,22,0.6875,0.081938,0.5269,0.8481
16-20,2-3,high,neutral,40,31,0.775,0.066026,0.6456,0.9044
16-20,2-3,high,strong_advantage,17,13,0.7647,0.10288,0.5631,0.9663
16-20,2-3,high,strong_disadvantage,18,14,0.7778,0.097987,0.5857,0.9699
16-20,2-3,low,moderate_advantage,43,42,0.9767,0.023005,0.9316,1.0
16-20,2-3,low,moderate_disadvantage,50,47,0.94,0.033586,0.8742,1.0
16-20,2-3,low,neutral,63,61,0.9683,0.022073,0.925,1.0
16-20,2-3,low,strong_advantage,21,21,1.0,0.0,1.0,1.0
16-20,2-3,low,strong_disadvantage,23,22,0.9565,0.042533,0.8731,1.0
16-20,2-3,neutral,moderate_advantage,37,29,0.7838,0.067675,0.6512,0.9164
16-20,2-3,neutral,moderate_disadvantage,24,22,0.9167,0.056407,0.8061,1.0
16-20,2-3,neutral,neutral,25,25,1.0,0.0,1.0,1.0
16-20,2-3,neutral,strong_advantage,15,15,1.0,0.0,1.0,1.0
16-20,2-3,neutral,strong_disadvantage,10,9,0.9,0.094868,0.7141,1.0
16-20,2-3,very_high,moderate_advantage,16,10,0.625,0.121031,0.3878,0.8622
16-20,2-3,very_high,moderate_disadvantage,25,8,0.32,0.093295,0.1371,0.5029
16-20,2-3,very_high,neutral,23,7,0.3043,0.09594,0.1163,0.4923
16-20,2-3,very_high,strong_advantage,17,6,0.3529,0.115901,0.1257,0.5801
16-20,2-3,very_high,strong_disadvantage,24,5,0.2083,0.082893,0.0458,0.3708
16-20,2-3,very_low,moderate_advantage,56,56,1.0,0.0,1.0,1.0
16-20,2-3,very_low,moderate_disadvantage,95,93,0.9789,0.014745,0.95,1.0
16-20,2-3,very_low,neutral,119,118,0.9916,0.008366,0.9752,1.0
16-20,2-3,very_low,strong_advantage,48,47,0.9792,0.020599,0.9388,1.0
16-20,2-3,very_low,strong_disadvantage,47,47,1.0,0.0,1.0,1.0
16-20,4-6,first_innings,moderate_advantage,670,321,0.4791,0.0193,0.4413,0.5169
16-20,4-6,first_innings,moderate_disadvantage,677,332,0.4904,0.019213,0.4527,0.5281
16-20,4-6,first_innings,neutral,933,412,0.4416,0.016257,0.4097,0.4735
16-20,4-6,first_innings,strong_advantage,394,201,0.5102,0.025184,0.4608,0.5596
16-20,4-6,first_innings,strong_disadvantage,388,170,0.4381,0.025188,0.3887,0.4875
16-20,4-6,high,moderate_advantage,80,41,0.5125,0.055884,0.403,0.622
16-20,4-6,high,moderate_disadvantage,74,33,0.4459,0.057783,0.3326,0.5592
16-20,4-6,high,neutral,87,62,0.7126,0.048518,0.6175,0.8077
16-20,4-6,high,strong_advantage,54,33,0.6111,0.06634,0.4811,0.7411
16-20,4-6,high,strong_disadvantage,50,21,0.42,0.0698,0.2832,0.5568
16-20,4-6,low,moderate_advantage,43,41,0.9535,0.032111,0.8906,1.0
16-20,4-6,low,moderate_disadvantage,36,35,0.9722,0.0274,0.9185,1.0
16-20,4-6,low,neutral,67,66,0.9851,0.014801,0.9561,1.0
16-20,4-6,low,strong_advantage,23,22,0.9565,0.042533,0.8731,1.0
16-20,4-6,low,strong_disadvantage,25,25,1.0,0.0,1.0,1.0
16-20,4-6,neutral,moderate_advantage,35,29,0.8286,0.063701,0.7037,0.9535
16-20,4-6,neutral,moderate_disadvantage,41,33,0.8049,0.061888,0.6836,0.9262
16-20,4-6,neutral,neutral,55,47,0.8545,0.047545,0.7613,0.9477
16-20,4-6,neutral,strong_advantage,31,27,0.871,0.060204,0.753,0.989
16-20,4-6,neutral,strong_disadvantage,22,14,0.6364,0.102557,0.4354,0.8374
16-20,4-6,very_high,moderate_advantage,239,48,0.2008,0.025913,0.15,0.2516
16-20,4-6,very_high,moderate_disadvantage,201,12,0.0597,0.016712,0.0269,0.0925
16-20,4-6,very_high,neutral,274,60,0.219,0.024985,0.17,0.268
16-20,4-6,very_high,strong_advantage,129,21,0.1628,0.032505,0.0991,0.2265
16-20,4-6,very_high,strong_disadvantage,111,6,0.0541,0.021471,0.012,0.0962
16-20,4-6,very_low,moderate_advantage,132,112,0.8485,0.031207,0.7873,0.9097
16-20,4-6,very_low,moderate_disadvantage,94,69,0.734,0.045575,0.6447,0.8233
16-20,4-6,very_low,neutral,169,145,0.858,0.02685,0.8054,0.9106
16-20,4-6,very_low,strong_advantage,67,53,0.791,0.049673,0.6936,0.8884
16-20,4-6,very_low,strong_disadvantage,79,58,0.7342,0.049702,0.6368,0.8316
16-20,7+,first_innings,moderate_advantage,222,75,0.3378,0.031743,0.2756,0.4
16-20,7+,first_innings,moderate_disadvantage,256,71,0.2773,0.027979,0.2225,0.3321
16-20,7+,first_innings,neutral,321,64,0.1994,0.022301,0.1557,0.2431
16-20,7+,first_innings,strong_advantage,122,42,0.3443,0.043017,0.26,0.4286
16-20,7+,first_innings,strong_disadvantage,137,35,0.2555,0.037262,0.1825,0.3285
16-20,7+,high,moderate_advantage,9,1,0.1111,0.104752,0.0,0.3164
16-20,7+,high,moderate_disadvantage,16,3,0.1875,0.097578,0.0,0.3788
16-20,7+,high,neutral,10,3,0.3,0.144914,0.016,0.584
16-20,7+,high,strong_advantage,7,2,0.2857,0.170744,0.0,0.6204
16-20,7+,high,strong_disadvantage,6,1,0.1667,0.152157,0.0,0.4649
16-20,7+,low,moderate_advantage,1,0,0.0,0.0,0.0,0.0
16-20,7+,low,moderate_disadvantage,9,4,0.4444,0.165633,0.1198,0.769
16-20,7+,low,neutral,6,6,1.0,0.0,1.0,1.0
16-20,7+,low,strong_advantage,5,4,0.8,0.178885,0.4494,1.0
16-20,7+,low,strong_disadvantage,2,2,1.0,0.0,1.0,1.0
16-20,7+,neutral,moderate_advantage,3,2,0.6667,0.272159,0.1333,1.0
16-20,7+,neutral,moderate_disadvantage,5,3,0.6,0.219089,0.1706,1.0
16-20,7+,neutral,neutral,5,4,0.8,0.178885,0.4494,1.0
16-20,7+,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0
16-20,7+,neutral,strong_disadvantage,1,0,0.0,0.0,0.0,0.0
16-20,7+,very_high,moderate_advantage,190,0,0.0,0.0,0.0,0.0
16-20,7+,very_high,moderate_disadvantage,205,9,0.0439,0.014309,0.0159,0.0719
16-20,7+,very_high,neutral,258,9,0.0349,0.011426,0.0125,0.0573
16-20,7+,very_high,strong_advantage,72,0,0.0,0.0,0.0,0.0
16-20,7+,very_high,strong_disadvantage,119,0,0.0,0.0,0.0,0.0
16-20,7+,very_low,moderate_advantage,84,8,0.0952,0.032022,0.0324,0.158
16-20,7+,very_low,moderate_disadvantage,82,15,0.1829,0.042691,0.0992,0.2666
16-20,7+,very_low,neutral,97,18,0.1856,0.039475,0.1082,0.263
16-20,7+,very_low,strong_advantage,36,9,0.25,0.072169,0.1085,0.3915
16-20,7+,very_low,strong_disadvantage,40,5,0.125,0.052291,0.0225,0.2275
4-6,0-1,first_innings,moderate_advantage,507,300,0.5917,0.021829,0.5489,0.6345
4-6,0-1,first_innings,moderate_disadvantage,516,261,0.5058,0.02201,0.4627,0.5489
4-6,0-1,first_innings,neutral,686,330,0.481,0.019076,0.4436,0.5184
4-6,0-1,first_innings,strong_advantage,339,185,0.5457,0.027043,0.4927,0.5987
4-6,0-1,first_innings,strong_disadvantage,292,127,0.4349,0.029011,0.378,0.4918
4-6,0-1,high,moderate_advantage,160,88,0.55,0.03933,0.4729,0.6271
4-6,0-1,high,moderate_disadvantage,134,59,0.4403,0.042884,0.3562,0.5244
4-6,0-1,high,neutral,164,84,0.5122,0.039032,0.4357,0.5887
4-6,0-1,high,strong_advantage,66,36,0.5455,0.06129,0.4254,0.6656
4-6,0-1,high,strong_disadvantage,77,33,0.4286,0.056396,0.3181,0.5391
4-6,0-1,low,moderate_advantage,128,109,0.8516,0.031422,0.79,0.9132
4-6,0-1,low,moderate_disadvantage,125,90,0.72,0.04016,0.6413,0.7987
4-6,0-1,low,neutral,188,156,0.8298,0.027409,0.7761,0.8835
4-6,0-1,low,strong_advantage,67,50,0.7463,0.053159,0.6421,0.8505
4-6,0-1,low,strong_disadvantage,65,53,0.8154,0.048122,0.7211,0.9097
4-6,0-1,neutral,moderate_advantage,156,101,0.6474,0.038253,0.5724,0.7224
4-6,0-1,neutral,moderate_disadvantage,134,83,0.6194,0.041944,0.5372,0.7016
4-6,0-1,neutral,neutral,162,113,0.6975,0.036089,0.6268,0.7682
4-6,0-1,neutral,strong_advantage,84,61,0.7262,0.048653,0.6308,0.8216
4-6,0-1,neutral,strong_disadvantage,88,53,0.6023,0.052173,0.5,0.7046
4-6,0-1,very_high,moderate_advantage,34,12,0.3529,0.081954,0.1923,0.5135
4-6,0-1,very_high,moderate_disadvantage,33,8,0.2424,0.074598,0.0962,0.3886
4-6,0-1,very_high,neutral,44,12,0.2727,0.067139,0.1411,0.4043
4-6,0-1,very_high,strong_advantage,21,2,0.0952,0.064045,0.0,0.2207
4-6,0-1,very_high,strong_disadvantage,11,3,0.2727,0.134277,0.0095,0.5359
4-6,0-1,very_low,moderate_advantage,50,47,0.94,0.033586,0.8742,1.0
4-6,0-1,very_low,moderate_disadvantage,32,27,0.8438,0.064178,0.718,0.9696
4-6,0-1,very_low,neutral,63,58,0.9206,0.034062,0.8538,0.9874
4-6,0-1,very_low,strong_advantage,43,42,0.9767,0.023005,0.9316,1.0
